図番,品名,品名2,備考
PC-376-SA-Y,Ｃ－３７６　シャフトＡ　ＸＭ－７,C-370-TEC-3 特注,
PC-376-SB-M,Ｃ－３７６　シャフト　Ｂ　ＳＵＳ　５Ｘ１１,A-495-2 ﾄﾒｶﾞﾈﾂｷ #210,
PC-376-SB-Y,Ｃ－３７６　シャフトＢ　ＸＭ－７,A-151R-2-1 ｸﾘｱ- STP ROHS,
PC-376-SC-M,Ｃ－３７６　シャフト　Ｃ　ＳＵＳ　６Ｘ１８,A-480-A-1 N7 ﾄﾒｶﾞﾈﾂｷ ROHS,
PC-376-SC-Y,Ｃ－３７６　シャフトＣ　ＸＭ－７,A-19-1-1 TAK70ﾁｶﾞｲ W/2,
PC-376-TRP-P,Ｃ－３７６　トリガーカシメピン　トリガーヨウ,A-139-1 #200片抜 Oﾘﾝｸﾞ特ﾄﾒ,
PC-390-CPAT-M,Ｃ－３９０　センターピン　トク　アテンダント,A-480-A-3 ｸﾛ #**** ・OK004,
PC-390-S-M,Ｃ－３９０　シャフト　２Ｘ５０,FC-702押棒SUSFﾅｼL=130L1=34,
PC-391-HS-M,Ｃ－３９１　ハンドルシャフト　４Ｘ２６,TR-41-N700-2-SK ﾛｯｸﾕﾆｯﾄ L,
PC-395-S-M,Ｃ－３９５　シャフト　２．５Ｘ５２．９,FA-621用 ﾒｸﾗｷｬｯﾌﾟ,
PC-396-S-M,Ｃ－３９６　シャフト　２．５Ｘ３４．５,FC-701用 ﾌﾗﾝｼﾞ,
PC-40-TC-M,Ｃ－４０　トクチュウ　カラー　ＢＳ，ＢＭ,A-213N用 ﾜｯｼｬｰ､ｼﾘｺﾝｸﾞﾘｽset,
PC-41-3SH-M,Ｃ－４１－３　シャフト　２．５Ｘ２８,A-375-2A-XT-N-R 粉塵対策品,SH-M
PC-41-JA-M,Ｃ－４１　ジク　Ａ　２．５Ｘ２６．５　クロメート,A-375-2A-XT-N-L 粉塵対策品,
PC-41-JAS-M,Ｃ－４１　ジク　Ａ　ＳＵＳ,A-140-3-1 #MN001 W/0,
PC-41-JB-M,Ｃ－４１　ジク　Ｂ　３Ｘ３１　クロメート,MA-140-1-1 ﾛ-ﾀ-ﾅｼ ROHS,
PC-41-JBS-M,Ｃ－４１　ジク　Ｂ　ＳＵＳ,MA-140-2-1 ﾛ-ﾀ-ﾅｼ ROHS,
PC-44-0/1LP-M,Ｃ－４４－０／１　ロックピン,MA-140-3-1 ﾛ-ﾀ-ﾅｼ ROHS,LP-M
PC-44-0/1SS-M,Ｃ－４４－０／１　スプリングガイドスクリュー,A-465-F-2 TTR0714 W/0 ﾏｽﾀ-,
PC-440-0RVT-M,Ｃ－４４０　ウスヒラリベット　６Ｘ８４　ＳＵＳ,A-151R-A-2-2 5Y STP ROHS,
PC-440-0SK-M,Ｃ－４４０　シリンダーコテイピース　４Ｐ４,A-140-2-1 T2000 W/2,
PC-44-0SS-M,Ｃ－４４－０　シャフト　ＳＵＳ　３Ｘ５５,A-140-2-1 TTR0714 W/0,
PC-44-1S-M,Ｃ－４４－１　シャフト　３Ｘ４５,A-375-2B-52T-L#5353560ｶﾗ,
PC-44-2LP-M,Ｃ－４４－２　ロックピン,A-140-1-1 T2000 W/2,LP-M
PC-44-2S-M,Ｃ－４４－２　シャフト　３Ｘ３４,FA-681-1-2用 ｷｬｯﾌﾟ,
PC-44-2SS-M,Ｃ－４４－２　スプリングガイドスクリュー,AP-151R-2-2 ｾｯﾃｨﾝｸﾞ ROHS,
PC-453-LS-M,Ｃ－４５３　ラッチシャフト　１４Ｐ２１Ｌ,A-481-F-3 #9500 W/2,
PC-453-S-M,Ｃ－４５３　ラチェットシャフト　１０Ｐ２１Ｌ－Ｃ,A-151R-2-1 5Yｸﾘｱ- STP R200,
PC-453-US-M,Ｃ－４５３　ウケザヨウ　シャフト　クロメート,A-100-1 (R) #500 ROHS,
PC-486-P-3000-K,Ｃ－４８６ヨウ　パイプ　Ｌ＝３０００,A-205-3用 ﾄﾒｶﾞﾈ,
PC-486-P-4000-K,Ｃ－４８６ヨウ　パイプ　Ｌ＝４０００,D4NS-SK30H 非常ﾚﾊﾞ-,
PC-490-C-SH-M,Ｃ－４９０－Ｃ　ハンドルシャフト　ＳＵＳ３０３,A-309-2S-1 1ｹ所抜 T0230W/1,SH-M
PC-490-TS-JTP-M,Ｃ－４９０－ＴＳ　ジョイントピン,A-309-2S-1 1ｹ所抜 T1003W/1,
PC-490-TS-SPJ-M,Ｃ－４９０－ＴＳ　スプリングジク,A-151R-F-A-1 TAK60 ROHS,
PC-49-LS-M,Ｃ－４９　ロックシャフト,A-130-S用E型止め輪,
PC-892-SHA-Y,Ｃ－８９２　シャフトＡ　ＸＭ－７,FA-820-C-2L-1 ｵｰﾄﾛｯｸ RUN02,SHA-Y
PC-892-SHB-Y,Ｃ－８９２　シャフトＢ　ＸＭ－７,A-375-3A-ST-R ROHS,SHB-Y
PC-892-TD-P-M,Ｃ－８９２－ＴＤ　ダッシュツピン,AP-151R-2-2 内部解錠,
PC-892-T-M,Ｃ－８９２　トク　シャフト　ダッチャクヨウ,A-140-1-1 ATK*** W/0 ﾏｽﾀ-,
PD200764-1,オプションブラケット,A-151R-1-2 5Yｸﾘｱ- ROHS,
PD201588-01,ビームブラケット　ウエ　Ｌ,A-140-2-1 5Yﾎﾟﾘｸﾘｱ- ROHS,
PD201588-02,ビームブラケット　ウエ　Ｒ,A-140-1-1 5Yﾎﾟﾘｸﾘｱ- ROHS,
PD300057-1,ジョイントブラケットＨ,A-151-2用 ﾊﾟｯｷﾝEPDMｸﾛ,
PD303538-A,ビームブラケット　ウエ　ヒダリ（ポリッシュ）,A-490-3N #300ﾃﾞｶｷ- ｼｬｯﾀ付,
PD303538-B,ビームブラケット　ウエ　ミギ（ポリッシュ）,A-151R-2-1 ｸﾘｱ- #200 ROHS,
PD30358-B,ビームブラケット　ウエ　ミギ（ポリッシュ）,A-465-F-2 KSR8974 W/0,
PD303659,Ｒ　レッグコネクターボディー,FA-616用 ｽﾌﾟﾘﾝｸﾞ,
PD303660,Ｒ　レッグコネクターブロック,A-140-1-1 KSR8941 W/0,
PDL-1000-B,パワードライルーブ　１ｋｇ,A-480-1PN ﾄﾒｶﾞﾈﾂｷ ROHS,
PEIT-M,ＰＥジュシイタ　１ＴＸ１０００Ｘ２０００,A-151-2-2 (旧) ﾊﾞﾗ,
PFA-1920-FJ-Y,ＦＡ－１９２０　フクジク,A-154-N-B 防水仕様 TAK60,
PFA-300-KS-M,ＦＡ－３００　コテイヨウ　シャフト　ＮＯ．８　ＳＵＳ,A-140-2-1 KSR8931 W/0,
PFA-300-PS-M,ＦＡ－３００　パイプシャフト　８Ｘ１９．４,A-481-F-3 HRR0732 W/0,
PFA-300-SA-M,ＦＡ－３００　シャフトＡ,A-140-1-1 TAKA SUI W/0,
PFA-300-SB-M,ＦＡ－３００　シャフトＢ,A-140-2-1　TAKA SUI W/0,
PFA-601F-KB74-M,ＦＡ－６０１Ｆ　カクボウＬ＝７４（Ｌ＝２９ヨウ）,A-140-3-1 TAKASUI W/0,
PFA-601F-KB90-M,ＦＡ－６０１Ｆ　カクボウ　Ｌ＝９０,A-140-2-1 HR753KI W/0,
PFA-601F-KB96-M,ＦＡ－６０１Ｆ　カクボウ　Ｌ＝９６,A-140-3-1 T8ﾛｰﾀｰﾅｼ ｲﾓﾈｼﾞ,
PFA-601-HS-M,ＦＡ－６０１　ＮＥＷ　ハンドルシャフト８Ｘ４３．５,A-465-F-2 KSR8945 W/0,
PFA-601-KP-S,ＦＡ－６０１　カシメピン　ＳＵＳ,A-140-2-1 5Y TAKASUI W/0,
PFA-601-LS-M,ＦＡ－６０１ＮＥＷラッチガイトシャフト６Ｘ４４．７,A-481-F-3 KSR8921 W/0,
PFA-601-MCR-M,ＦＡ－６０１　ＭＣナイロン　ローラー　アオ,A-140-1-1 TTR2742 W/0,
PFA-601-RS-Y,ＦＡ－６０１　ローラーシャフト　ＸＭ－７,A-140-2-1 5Y TAKASUI W/0,
PFA-601-SJ-Y,ＦＡ－６０１　シュジク　ＳＵＳ３０４,A-140-1-1 5Y JWA8531 W/0,
PFA-601-SR-M,ＦＡ－６０１　ＳＵＳ　ローラー,B-178-3-W ｶﾊﾞｰのみ,
PFA-602-FJ-S,ＦＡ－６０２　フクジク　ＳＵＳ　ＸＭ７,A-481-F-5 TCS8230 W/0 ﾏｽﾀ-,
PFA-602-LSJ-Y,ＦＡ－６０２　ラッチサドウジク　ＳＵＳ,A-480-A-2ｸﾛ TTR0714W/0ﾏｽﾀ-,
PFA-602-RLP-S,ＦＡ－６０２　リセットレバーピン,A-151-1-1 ESJ-R,LP-S
PFA-602-ROSUS-M,ＦＡ－６０２　ＳＵＳロ－ラ－　３００以上単変,A-151-1-1 ESJ-L,ROSUS-M
PFA-602-RS-Y,ＦＡ－６０２　ローラーシャフト　ＳＵＳ,C-370-CB-ESJ 本体ﾉﾐ,
PFA-602-S1R-M,ＦＡ－６０２－Ｓ１　ローラー　１３Ｘ２５,C-370-KB-ESJ-L L=35,
PFA-602-SJ-Y,ＦＡ－６０２　シュジク　ＳＵＳ,C-370-KB-ESJ-R L=35,
PFA-603-LSJ-M,ＦＡ－６０３　ラッチサドウジク　ＳＵＳ,C-375-A #JMCIA W/0,
PFA-603-RLP-M,ＦＡ－６０３　リセットレバーピン,C-375-A #JMCIA-T W/0,LP-M
PFA-603-SJ-M,ＦＡ－６０３　シュジク　ＳＵＳ,C-375-A #JMCIA-N W/0,
PFA-603-SJ-S,ＦＡ－６０３　シュジク　使用禁止,C-375-A #JMCIA-0 W/0,
PFA-610/2-HJ-S,ＦＡ－６１０，６１２　ハンドルジク,C-375-A #JMCIA-S W/0,
PFA-610/2-LJ-S,ＦＡ－６１０，６１２　ラッチジク,A-151R-F-1 5Y HAMA05 W/0,
PFA-610/2-MJ-S,ＦＡ－６１０，６１２　マグネットジク,A-230-1 #HAMA05 W/0 支,
PFA-614/6-RP-M,ＦＡ－６１４，６１６　ローラーピン　ＳＵＳ,A-230-2-1 HAMA04 W/0,
PFA-614-2/3HD-M,ＦＡ－６１４－２／３　ヘッド,A-140-2-1 TTR2746 W/0,
PFA-616-HSH-Y,ＦＡ－６１６　ハンドルシャフト　ＸＭ－７,A-481-F-5 #300ﾃﾞｶｷ-,SH-Y
PFA-618-HJ-S,ＦＡ－６１８，６２０　ハンドルジク,A-151R-A-2-1 5Y STP#200,
PFA-623-RB-M,ＦＡ－６２３　ロットボウ　ＳＵＳ１０Ｘ１３０,A-140-3-1 TTR0714 W/0,
PFA-630-DB-S,ＦＡ－６３０　デットボルト,A-106-2用 M30ｲﾀﾅｯﾄ,DB-S
PFA-630-RS-M,ＦＡ－６３０　カイテンジク,AP-151R-A-1-1 ｾｯﾃｨﾝｸﾞ ROHS,
PFA-630-SS-M,ＦＡ－６３０　サドウジク,A-495-2 ﾒｸﾗｷｬｯﾌﾟ 指定ｸﾞﾘｽ,
PFA-662-HSH-Y,ＦＡ－６６２　ハンドルシャフト　ＳＵＳ,A-151R-F-A-1 T230 ﾗｯﾁ部ｶｯﾄ,SH-Y
PFA-662-LSH-Y,ＦＡ－６６２　ラッチシャフト　ＳＵＳ３０４,A-151R-A-1-2 ﾗｯﾁ部ｶｯﾄ,SH-Y
PFA-681-HJ-M,ＦＡ－６８１　ハンドルジク　６Ｘ４６　ＳＵＳ,A-465-F-2 TAK7321,
PFA-681-HJ-S,ＦＡ－６８１　ハンドルジク　ホシザキムケＳＵＳ,A-481-F-3 #JWAIKED W/0,
PFA-702-4KP-M,ＦＡ－７０２－４　クドウピン,A-481-F-5 #JWAIKED W/0,
PFA-702-4KP-Y,ＦＡ－７０２－４　クドウピン　ＸＭ－７,A-480-A-1 ｸﾛ TTR2771 W/0,
PFA-702-4NP-Y,ＦＡ－７０２－４　ノックピン　ＳＵＳ３０４,A-250-3-2 ﾊﾞﾗ梱包 ROHS,
PFA-702-4RLJ-Y,ＦＡ－７０２－４　リセットレバージク　ＸＭ－７,FA-602-S-6用 ﾄﾒｶﾞﾈ,
PFA-702-4SJ-S,ＦＡ－７０２－４　シュジク　６Ｐ５６Ｌ,A-154-N-B 防水仕様 TAK70,
PFA-708-HA-Y,ＦＡ－７０８　ハンドルヨウ　ＳＵＳ３０４,A-230-1-1(#500) W/2,HA-Y
PFA-708-ST-M,ＦＡ－７０８　ストッパー　１７パイＢＳＢＭ,FA-603 #500,
PFA-708-UZ-Y,ＦＡ－７０８　ウケザヨウ　ＳＵＳ３０４,A-100N-1-L TAK70 W/2,UZ-Y
PFA-810-C4AK-M,ＦＡ－８１０－Ｃ－４　オートロットカクシャフトＡ,FC-702-B用 赤ﾍｯﾄﾞ,
PFA-810-C4KS-M,ＦＡ－８１０－Ｃ－４　カタヌキカクシャフト６Ｘ６２,AC-100-A-1 #T0230,
PFA-810-CSASC-M,ＦＡ－８１０－Ｃ４カクシャフトＡＳＳＹ＋１９１Ａ,FB-717-1用 φ10.6ｼｬﾌﾄ,
PFA-810-CSASY-M,ＦＡ－８１０－Ｃ－４　カクシャフトＡＳＳＹ,A-480-A-3 5Y NTS200T W/0,
PFA-810-CS-M,ＦＡ－８１０－Ｃ－４　カクシャフト　６Ｘ５６．５,C-375-A #200 W/3,
PFA-815-1CL-M,ＦＡ－８１５－１　カラー　Ｓ２０Ｃユニクロ,AP-151-J 添付部品ﾅｼ,
PFA-815-1LLS-Y,ＦＡ－８１５－１　ラッチレバーシャフト　ＸＭ－７,A-343-A-R 錠前･ｻﾑﾀﾝﾅｼ,
PFA-815-2B-JS-M,ＦＡ－８１５－２Ｂ　ジョイントシャフト　ＳＵＳ,FB-613用 ｶﾊﾞｰ,
PFA-815-2CL-M,ＦＡ－８１５－２　カラー　２２．５Ｘ１１．５,FA-816-3T用 ﾊﾟｯｷﾝ,
PFA-815-3BU-M,ＦＡ－８１５－３　ブッシュ　３２Ｘ２０．５,A-140-1-1 5Y TAKASUI W/0,
PFA-815-FCL-M,ＦＡ－８１５　フルハーフムケ　トク　カラー,MTR掛金錠 LEVEL3 A-R,
PFA-815-JN-M,ＦＡ－８１５　ジョイントネジＭ６Ｘ３０ＳＵＳ,MTR掛金錠 LEVEL3 A-L,
PFA-815-JN-S,ＦＡ－８１５　ジョイントネジＭ６Ｘ３０ＳＵＳ,A-375-3CA-XT-L,
PFA-815-JTA-OD,ＦＡ－８１５　ジョイントＡ　キュウタイプ　ＣＨＮ,A-375-3CA-XT-R,
PFA-815-JTA-Y,ＦＡ－８１５　ジョイントＡ　Ｓ４５Ｃ,A-403 #K-2821 W/2,
PFA-815-JTB-OD,ＦＡ－８１５　ジョイントＢ　キュウタイプ　ＣＨＮ,C-65 LL ﾗｯﾁ特注 #R0220,
PFA-815-JTB-Y,ＦＡ－８１５　ジョイントＢ　Ｓ４５Ｃ,C-375-A用 ｼﾞｮｲﾝﾄ,
PFA-815-JTCN-Y,ＦＡ－８１５　ジョイントＣ　Ｄカットロング,A-140-3-1 5Y7/1 #ESDS***,
PFA-815-JTC-OD,ＦＡ－８１５　ジョイントＣ　キュウタイプ　ＣＨＮ,FA-602N #200 ROHS,
PFA-815-JTC-Y,ＦＡ－８１５　ジョイントＣ　Ｓ４５Ｃ,A-160-A-2用 ﾄﾒｶﾞﾈ ﾍﾞﾄﾅﾑ製,
PFA-815N-JTA,ＦＡ－８１５－Ｎ　ジョイントＡ　ＣＨＮ,C-375-A TAK80 W/2,
PFA-815N-JTB,ＦＡ－８１５－Ｎ　ジョイントＢ　ＣＨＮ,A-230-3-1HAMA05 TAK7425W/0,
PFA-815N-JTC,ＦＡ－８１５－Ｎ　ジョイントＣ　ＣＨＮ,FA-602 鍵違い W/4,
PFA-815-TSH-Y,ＦＡ－８１５　トリガーシャフト　ＸＭ－７,A-481-F-4 #CSIDM W/0,SH-Y
PFA-816-1/3JA-T,ＦＡ－８１６－１／３ジョイントＡ　Ｓ２０Ｃ廃止,LE-375-2A-40T1-R-D-STDｵ-ﾄ,
PFA-816-2JB-T,ＦＡ－８１６－２　ジョイントＢ　（Ｓ２０Ｃ）,A-490-2N 5Y半ﾂﾔ #200 ROHS,
PFA-816-3HS-M,ＦＡ－８１６－３　ハンドルシャフト　８Ｘ８２．３,A-480-A-3 5Y7/1 #0200 W/2,
PFA-816-3HS-Y,ＦＡ－８１６－３ハンドルＳＨＸＭ７使用禁止,A-421 ﾁｶﾞｲ同 #Y***** W/2,
PFA-816-3LAS-M,ＦＡ－８１６－３　ラチェットシャフト　ＳＵＳ,A-151R-F-2 5YSTPJWA-KAYW/0,
PFA-816-3LSH-Y,ＦＡ－８１６－３　ラッチシャフト　ＸＭ－７,FA-820YB-2L-CV ｵ-ﾄﾛｯｸ ﾁｶﾞｲ,SH-Y
PFA-816-3LS-M,ＦＡ－８１６－３　ロックシャフト　６Ｘ３１．４　リ,A-151R-F-2 STP JWA-KAY W/0,
PFA-816-3SB-M,ＦＡ－８１６－４　シャフトＢ　８Ｘ４５　ＳＵＳ,A-139-1 5Yｸﾘｱ R200,
PFA-816-B-M,ＦＡ－８１６　ビニールワッシャー　Ｔ＝２,A-481-F-4 #CGNDM W/0,
PFA-816-JA-T,ＦＡ－８１６　ジョイントＡ　（Ｓ２０Ｃ）,A-151R-1用 ｾｯﾃｨﾝｸﾞﾌﾟﾚｰﾄA,
PFA-816-JCLC-T,ＦＡ－８１６　ジョイントＣ　Ｌ用Ｍ５穴２ケ所,FA-601 #200 ROHS,
PFA-816-JCRC-T,ＦＡ－８１６　ジョイントＣ　Ｒ用Ｍ５穴２ケ所,FC-701 ｺｳｷﾝ L1=59 ROHS,
PFA-816-JC-T,ＦＡ－８１６　ジョイントＣ　（Ｓ２０Ｃ）Φ１７,A-140-W-1-1 TOCHIGIW/0刻ﾅｼ,
PFA-816-LS-Y,ＦＡ－８１６　ロックシャフト　ＸＭ－７,A-490用 #200ﾛｰﾀｰﾕﾆｯﾄ,
PFA-816-SA-M,ＦＡ－８１６　シャフト　Ａ　ＳＵＳ　６Ｘ９２．５,A-488-5 ﾄﾒｶﾞﾈﾂｷ ﾒｸﾗｷｬｯﾌﾟ,
PFA-816-SB-M,ＦＡ－８１６　シャフト　Ｂ　ＳＵＳ　５Ｘ５０．５,A-140-1-1 WWIKOMA W/0,
PFA-816-SC-M,ＦＡ－８１６　シャフト　Ｃ　ＳＵＳ　６Ｘ３４,A-151R-A-1-2 5Yｸﾘｱ STP,
PFA-818-1SA-M,ＦＡ－８１８－１　シャフトＡ　８Ｐ１１１Ｌ,A-151R-1-2 5Yｸﾘｱ- STP ROHS,
PFA-818-1SC-M,ＦＡ－８１８－１　シャフトＣ　７Ｐ９Ｌ,A-151-1用 ｾｯﾃｨﾝｸﾞﾌﾟﾚｰﾄA,
PFA-818-SR-M,ＦＡ－８１８－１　スペーサー　２１．７Ｘ４０,A-480-A-1 ｸﾛ KSR8934 W/0,
PFA-820-C2FS-M,ＦＡ－８２０－Ｃ－２　フックシャフト　６Ｐ３７Ｌ,A-140-2-1 TOBU/SS W/0,
PFA-820-C2GS-M,ＦＡ－８２０－Ｃ－２　ガイドＳＨ　４Ｐ３０Ｌ,A-151R-F-1 #E07W/0片抜刻印,
PFA-820-C2RVT-M,ＦＡ－８２０－Ｃ２ウスヒラリベット３Ｘ５　ＢＳ,FA-816-2用 ｽﾄｯﾊﾟｰ,
PFA-820-C2SA-M,ＦＡ－８２０－Ｃ－２　シャフトＡ　３Ｐ４７．５Ｌ,C-390-RB-2R用 2ｹ所抜ｽﾘｰﾌﾞ,
PFA-820-FRC-P,ＦＡ－８２０－Ｃ－２　封印リングカラー,C-390-RB用 ﾜﾘﾋﾟﾝ 2*12 SUS,
PFA-820-FRS-P,ＦＡ－８２０－Ｃ－２　封印リングシャフト,A-140-2-1 5Yｸﾘｱ #9500,
PFA-820-SR-M,ＦＡ－８２０　スペーサーＣＢ－４０８Ｅヒロスギ,A-140-1-1 5Y T80Rﾅｼ ﾌﾀｺﾞﾑ,
PFA-820YB-SR-M,ＦＡ８２０ＹＢスペーサーＣＢ４１３Ｅヒロスギ,A-140-2-1 5Y TAK80Rﾅｼ標ｺﾞﾑ,
PFA-834-C-FS-M,ＦＡ－８３４－Ｃ　フックシャフト　ＳＵＳ,A-230-2-1 TAK80 W/2,
PFA-834-C-KS-M,ＦＡ－８３４－Ｃ　キャップシャフト　ＳＵＳ,TR-41-N700-4E-SK ｳｹｻﾞﾕﾆｯﾄ,
PFA-908-RVT-M,ＦＡ－９０８　ウスヒラリベット　５Ｘ４０ＳＵＳ,A-140-2-1TAK70ﾁｶﾞｲ ｶﾀﾇｷ,
PFA-931-C-M,ＦＡ－９３１　カラー　５Ｘ６,A-33-4 ﾊﾞﾗ梱包 ROHS,
PFA-931-L-M,ＦＡ－９３１　ローラー　８Ｘ５．２,FA-834-C-L-1 TVCｶｷﾞﾁｶﾞｲ,
PFA-931-R-M,ＦＡ－９３１　ヒラリベット,A-375-2A-13TRｶｷﾞﾅｼ･HAﾅｼ･ｶﾗ,
PFA-931-RSUS-M,ＦＡ－９３１　ローラーＳＵＳ,A-230-2-1 TAK50,
PFA-931-S12A-M,ＦＡ－９３１　シャフトピン　１２Ａ　４Ｘ２３,A-375-2A-48T-L#200W/3ｶﾗ-,
PFA-931-S13-M,ＦＡ－９３１　シャフトピン　１３　３Ｘ１２,A-140-1-1 5Y7/1 11784A W/0,
PFA-931-S5-M,ＦＡ－９３１　シャフトピン　５　４Ｘ２９．２,A-430 CR #2** 刻印,
PFA-931-SSUS-M,ＦＡ－９３１　シャフトピン　ＳＵＳ,A-375-3A-14T-R N7 #200 SUS,
PFA-932-L-M,ＦＡ－９３２　ローラー　８Ｘ６,A-140-1-1 5Yｸﾘｱ-#11784AW/0,
PFA-932-LP-M,ＦＡ－９３２　ロックピン　６Ｘ２２．５,A-140-3-1 5Yｸﾘｱｰ#11784AW/0,LP-M
PFA-932-SB-M,ＦＡ－９３２　シャフト　Ｂ　４Ｘ２５,A-151R-1-1 5Yｸﾘｱ- STP #200,
PFA-932-SD-M,ＦＡ－９３２　シャフト　Ｄ　３Ｘ１４,A-151R-A-1-1 5YｸﾘｱSTP#200,
PFA-932-SE-M,ＦＡ－９３２　シャフト　Ｅ　４Ｘ３１．５,A-481-F-4 #E07W/0片抜 刻印,
PFA-932-SG-M,ＦＡ－９３２　シャフト　Ｇ　５Ｘ２３．５,A-130-2-1 #500 ROHS,
PFA-932-SH-M,ＦＡ－９３２　シャフト　Ｈ　６Ｘ２３,C-892-TD,SH-M
PFA-933-LP-M,ＦＡ－９３３　ロックピン　３Ｘ１２,A-140-2-1 5Y WWIKOMA W/0,LP-M
PFA-933-P-M,ＦＡ－９３３　ピン,FA-602N #300 片抜,
PFA-933-SB-M,ＦＡ－９３３　ストップボルト,FB-611S用 ｶﾑB,
PFA-933-SHB-M,ＦＡ－９３３　シャフト　Ｂ　３Ｘ１２,A-140-2-1 WWIKOMA W/0,SHB-M
PFA-933-SS-M,ＦＡ－９３３　スライドシャフト　８Ｘ４５,A-139-2 ｼﾙﾊﾞ- Oﾘﾝｸﾞ加工,
PFA-935-C-M,ＦＡ－９３５　カラー　ＳＵＳ,A-490用 R200ﾛｰﾀｰﾕﾆｯﾄ,
PFA-935-N16S-M,ＦＡ－９３５　シャフトＢ　ＮＯ．１６　４Ｘ１２,A-140-1-1 5Y JWAMIE W/0,
PFA-935-N9S-M,ＦＡ－９３５　シャフトＡ　ＮＯ．９　６Ｘ２４．６,A-375-2CA-52TRE012012W/3ｶﾗ,
PFB-601-SH-T,ＦＢ－６０１　Ｄカットシャフト１２．７パイ（ＳＵＳ,A-465-F-2 KKR727 W/0,SH-T
PFB-601-SNCM-M,ＦＢ－６０１　セリアガリナシカム　ＰＯＭ,A-140-3-1 KSR8941 W/0,
PFB-611-SH-T,ＦＢ－６１１　Ｄカット　シャフト（ＳＵＳ）,A-375-3A-14T-R 5Y #200 SUS,SH-T
PFB-611S-SH-M,ＦＢ－６１１Ｓ　Ｄカット　シャフト　１０Ｐ６０Ｌ,A-140-3-1 5Y TAKA SUI W/0,SH-M
PFB-612-S-M,ＦＢ－６１２　シャフト　２２Ｘ１１６．５,FB-611S用 ｶﾑA,
PFB-613/4-SH-S,ＦＢ－６１３，６１４　シャフト　７パイＸ２０,FA-816用ｱﾌﾟｾｯﾄﾎﾞﾙﾄ6*20 P2,SH-S
PFB-614-2/3S-M,ＦＢ－６１４－２／３　シャフト　　使用禁止,FA-816用 O-RING P-12,
PFB-614-714SH-M,ＦＢ－６１４，７１４　シャフト　７ＰＸ５９,FA-816用 ﾅｲﾛﾝﾜｯｼｬｰ,SH-M
PFB-614-714TM-M,ＦＢ－６１４，７１４　ツマミ　ＳＵＳ,A-151R-2-2 ﾗｯﾁ反転 WPﾗｯﾁ,
PFB-614-HD-M,ＦＢ－６１４－２／３　ヘッド　１６ＰＸ２４,A-140-1-1 10YR7/1.5ﾂﾔT8Rﾅｼ,
PFB-714-CL-S,ＦＢ－７１４　カラー　ＢＳＢＭ,LE-816-1-B-t4 TVCﾁｶﾞｲW/2支,
PFB-714-HD-M,ＦＢ－７１４　ヘッド　１５ＰＸ２４クローム,A-140-2-1 10YR7/1.5ﾂﾔT80ﾅｼ,
PFB-714-RG-S,ＦＢ－７１４　リング　ＢＳＢＭ,A-139-1SLVOﾘﾝｸﾞ加工TAK70違,
PFB-730/1-SH-S,ＦＢ－７３０，７３１　シャフト　ＳＵＳ,FA-815用 ﾊﾝﾄﾞﾙ操作方法ｼｰﾙ,SH-S
PFB-732-1S-S,ＦＢ－７３２－１　シャフト　ＳＵＳ,AP-140-1-1 5Y TAK60,
PFB-732-2S-S,ＦＢ－７３２－２　シャフト（ＳＵＳ）,A-465-F-1 TAK60 M5*L12,
PFB-732-2S-Y,ＦＢ－７３２－２　シャフト　ＸＭ－７,A-151R-1-1 ｸﾘｱ- STP ROHS,
PFB-733-SH-Y,ＦＢ－７３３　シャフト,A-458-L TAT707 W/0,SH-Y
PFB-931-PN-M,ＦＢ－９３１　ピン　３．８Ｘ２１　ＳＵＳ,A-375-3A-SN-R ROHS,
PFB-931-R-M,ＦＢ－９３１　ローラー　ＳＵＳ,FA-822-C-L-1 ｶｷﾞﾁｶﾞｲ,
PFB-931-SH-M,ＦＢ－９３１　シャフト　１０Ｘ６９　ＳＵＳ,A-140-2-1 ｼﾙﾊﾞ-TAK80ﾛ-ﾀ-ﾅｼ,SH-M
PFC-701SUSL=124,ＦＣ－７０１　オシボウＳＵＳ　Ｌ＝１２４ネジ,A-375-2CA-52TLE012012W/3ｶﾗ,
PFC-701SUSL=150,ＦＣ－７０１　オシボウＳＵＳ　Ｌ＝１５０ネジ,A-151R-F-1 STP*-JOKI1W/2刻,
PFC-701SUSL=235,ＦＣ－７０１　オシボウＳＵＳ　Ｌ＝２３５ネジ,A-100-1 (L) L=80,
PFC-702-FGS-P,ＦＣ－７０２　タイネツシヨウ　フランジＳＵＳ,FA-662 ｺｳｷﾝ･ｼﾙﾊﾞｰ#200 ROHS,
PFC-702SUSL=105,ＦＣ－７０２　オシボウ　ＳＵＳ　Ｌ＝１０５,18X8ﾛX2mm ｽﾍﾟｰｻｰ ROHS,
PFC-702SUSL=125,ＦＣ－７０２　オシボウ　ＳＵＳ　Ｌ＝１２５,A-140-1-1 KSR8944 W/0,
PFC-702SUSL=126,ＦＣ－７０２　オシボウＳＵＳ　Ｌ＝１２６ネジ,C-375-SJ-ZDC-TR-41/C-490,
PFC-702SUSL=235,ＦＣ－７０２　オシボウＳＵＳ　Ｌ＝２３５ネジ,C-375-SJ-ZDC-C374,
